policy,delay_steps,estimated_success_rate,estimated_mean_risk,recoverable_episode_fraction,note
immediate_recovery,0,0.566386575154054,0.6063474034716924,0.49722222222222223,proxy counterfactual from execution features; validate with real intervention rollouts
delay_10_steps,10,0.5344356478903848,0.677731524228746,0.46944444444444444,proxy counterfactual from execution features; validate with real intervention rollouts
delay_40_steps,40,0.4941824968975289,0.8072844430705538,0.36666666666666664,proxy counterfactual from execution features; validate with real intervention rollouts
no_recovery,none,0.1896078206046406,0.6668660314718572,0.16666666666666666,proxy counterfactual from execution features; validate with real intervention rollouts
